Action;Arousal;Valence
repairing;3.38;4.89
baking;5;7.2
smoking;5;3.44
skiing;6.4;6.2
drumming;7.67;6.05
child+speaking;3.19;5.91
blowing;4.48;6.1
cleaning;4.5;6.85
combing;1.33;6.65
spreading;4.15;5.57
racing;7.2;5.44
combusting;5.4;3.37
adult+female+singing;3.1;7.5
fencing;3.86;5.17
swimming;5.13;7.2
adult+male+singing;3.1;7.5
snuggling;3.54;8.76
shopping;4.76;5.89
bouncing;6.68;6.1
dusting;3.45;3.72
stroking;4.6;6.82
snapping;3.42;4.42
biting;6.1;2.52
roaring;8.15;5.37
guarding;3.6;5.89
unloading;2.24;5.21
lifting;4.9;5.32
instructing;4.25;5.81
folding;3;5.19
measuring;3.36;5.14
whistling;3.94;5.7
exiting;3.18;5.35
stretching;3.73;5
taping;3.95;5.33
squinting;3.71;4.4
catching;6;5.64
draining;2.94;3.8
massaging;3.81;6.18
scrubbing;3.95;4.53
handcuffing;6;2.35
celebrating;7.73;7.84
jogging;3.43;5.81
colliding;6.33;2.1
bowling;4.05;6.68
resting;1.29;7.86
blocking;4.25;4.48
smiling;4.62;7.89
tattooing;5;4.45
erupting;8.41;5.14
howling;5.6;5.29
parading;4.8;6.37
grinning;5.65;7.66
sprinting;5.9;5.68
hanging;4.86;2.1
planting;2.94;7.05
speaking;4.19;5.91
ascending;3.73;5.14
yawning;1.84;5.62
cramming;4.19;4.68
burning;5.4;3.73
wrestling;6.55;4.53
poking;5.41;4.14
tickling;7.86;6.14
exercising;7.41;6.33
loading;4.55;4.43
piloting;4.52;4.9
typing;1.86;6.06
